lng,lat,bioclim1,bioclim12,bioclim15,bioclim4,dist_to_water_m,elev_m,disease,theta
-4.0545841,5.6787503,264,1597,58,1103,2694,68,SM,0.052034841
-5.9379174,8.8870837,264,1248,75,1247,3832,360,SM,0.01253956
-7.84724,9.70243,259,1492,91,1498,989,430,SM,0.010113229
-4.9962507,6.7120837,268,1079,57,1084,4172,183,SM,0.18194834
-4.1295841,9.020417,271,1098,71,1346,1145,253,SM,0.022703995
-8.2045841,6.920417,256,1876,64,888,11805,261,SM,0.069456244
-3.98386,5.30177,267,1838,92,1060,806,6,SM,0.012170829
-3.9629174,5.2537503,267,1838,92,1060,811,6,SM,0.013232994
-6.3795841,4.870417,256,1468,90,918,1033,104,SM,0.223083221
-6.47465,7.24015,259,1267,58,1020,3041,237,SM,0.032618477
-4.4629174,9.595417,274,1121,81,1433,5024,259,SM,0.055709323
-6.23332,9.44171,262,1349,85,1388,1333,397,SM,0.012077358
-7.4712507,4.4287504,254,2321,56,801,7285,20,SM,0.312264431
-7.3962507,7.1370837,251,1536,63,979,3435,288,SM,0.016042456
-3.8629174,5.895417,267,1508,57,1096,602,67,SM,0.075038002
-6.4295841,6.8787503,257,1315,55,996,1354,252,SM,0.067998555
-4.30518,5.28621,268,1753,95,1060,1574,0,SM,0.086524484
-7.1295841,5.920417,258,1640,54,933,4368,204,SM,0.070017228
-5.7379174,9.6370837,266,1284,84,1426,2923,363,SM,0.020582747
-4.0028,5.40215,262,1765,86,1074,3534,106,SM,0.011706714
-3.0545841,7.5370837,268,1119,61,1198,725,195,SM,0.021679211
-3.8212507,8.3037503,270,1071,63,1249,14452,237,SM,0.063700781
-4.0129174,5.9120837,267,1492,56,1108,6178,91,SM,0.065291763
-3.3962507,8.795417,259,1118,66,1367,1957,421,SM,0.043896122
-6.0962507,5.9370837,260,1424,47,880,220,168,SM,0.406612817
-4.9879174,8.270417,271,1074,65,1135,5850,264,SM,0.074211716
-5.0545841,9.4870837,262,1198,78,1347,3856,379,SM,0.085567123
-2.8795841,8.645417,264,1099,66,1396,4309,331,SM,0.060297095
-4.0749,5.33242,267,1790,94,1055,2660,41,SM,0.008971796
-3.5712507,6.8287503,265,1264,59,1097,397,183,SM,0.018528071
-3.6795841,8.0037503,270,1061,62,1242,2044,215,SM,0.021571415
-6.28741,6.49203,258,1359,49,928,3130,248,SM,0.03951778
-7.8629174,8.395417,247,1452,69,1016,2847,520,SM,0.048197528
-5.1879174,9.620417,265,1258,81,1400,3128,340,SM,0.115696776
-6.4462507,7.5287503,258,1225,60,1047,1959,268,SM,0.088912534
-3.50774,6.74487,265,1293,59,1103,4217,190,SM,0.012524823
-6.6795841,5.445417,257,1539,50,894,2976,171,SM,0.202191078
-4.9962507,7.7537503,268,1103,60,1067,1673,303,SM,0.108638108
-5.37421,9.26459,267,1189,77,1350,2762,325,SM,0.011701193
-3.4129174,7.595417,270,1087,60,1230,2036,209,SM,0.017530722
-4.00855,5.42931,260,1726,76,1102,2657,112,SM,0.018831417
-7.966824,6.55205,259,1767,61,973,538,246,SM,0.014474025
-4.8129174,7.3037503,269,1063,62,1059,1014,178,SM,0.374676545
-3.9629174,5.2870837,267,1838,92,1060,926,6,SM,0.014395579
-7.2462507,5.7120837,258,1754,51,891,2475,172,SM,0.08835516
-6.4629174,5.395417,260,1459,61,895,2606,92,SM,0.683279191
-3.3212507,5.3870837,265,1904,71,1085,5153,53,SM,0.040578155
-4.02844,5.4481,260,1726,76,1102,1026,115,SM,0.018494845
-3.2545841,9.620417,271,1121,77,1516,2244,333,SM,0.158114555
-5.1545841,5.895417,268,1388,54,978,2400,95,SM,0.827745038
-3.4629174,8.7287503,267,1090,67,1357,8246,311,SM,0.046627354
-6.45126,7.30363,259,1250,59,1035,2916,243,SM,0.027856906
-6.55385,8.1597,258,1251,65,1085,2978,314,SM,0.014027152
-4.05725,5.32617,267,1790,94,1055,1332,37,SM,0.009834752
-6.2295841,6.3870837,260,1361,49,931,1354,228,SM,0.321833409
-5.13258,9.31508,262,1160,76,1315,519,421,SM,0.030341067
-7.68611,8.28439,248,1376,71,1005,1496,489,SM,0.037683993
-7.3545841,8.9287503,258,1400,79,1243,478,374,SM,0.007533221
-5.5295841,8.595417,268,1125,71,1216,1101,297,SM,0.034451092
-7.7712507,8.1037503,246,1470,69,1005,2719,502,SM,0.065319764
-5.4045841,6.8787503,259,1174,57,1151,1994,187,SM,0.019457434
-3.9379174,9.7287503,269,1118,80,1501,3653,344,SM,0.148043217
-6.7295841,7.7370837,255,1267,61,1031,3982,287,SM,0.030809587
-4.84393,7.04025,267,1064,60,1097,4418,205,SM,0.292182671
-4.12037,6.70481,267,1159,61,1090,388,155,SM,0.037392637
-4.8379174,9.170417,266,1121,75,1325,4947,325,SM,0.021435027
-5.7962507,8.6037503,263,1186,71,1198,2789,374,SM,0.042184609
-6.6712507,6.920417,258,1334,57,966,591,212,SM,0.128247835
-6.01747,9.42956,264,1315,85,1380,270,396,SM,0.009616423
-4.1379174,7.470417,270,1079,62,1130,5644,207,SM,0.034548104
-4.40817,5.2095,268,1766,100,1045,2713,15,SM,0.01174722
-3.9712507,6.2037503,267,1363,57,1052,3954,118,SM,0.096462116
-3.95022,5.3086,267,1838,92,1060,390,2,SM,0.011219256
-6.9129174,7.9037503,254,1299,63,1017,9165,338,SM,0.084295223
-5.2879174,6.8537503,257,1136,58,1151,1347,235,SM,0.011614329
-3.4795841,9.8120837,272,1110,80,1555,432,320,SM,0.18644233
-7.6045841,9.7787503,261,1440,92,1548,1395,414,SM,0.079430568
-6.4545841,7.070417,257,1302,56,1032,198,262,SM,0.038613508
-6.2212507,9.8287503,264,1255,90,1451,3167,386,SM,0.009524029
-4.3962507,8.8287503,271,1095,69,1308,1098,258,SM,0.01954208
-7.4545841,5.8787503,261,1797,57,918,600,164,SM,0.112762375
-6.9879174,9.270417,255,1419,81,1331,5014,447,SM,0.004282594
-6.3795841,7.545417,259,1220,60,1073,6727,269,SM,0.120324194
-6.9962507,4.695417,259,1667,68,877,4157,63,SM,0.506556927
-4.3295841,5.645417,268,1583,66,1075,1086,41,SM,0.106683213
-4.4962507,6.670417,273,1121,59,1074,1941,120,SM,0.148895349
-7.2045841,8.345417,258,1324,71,1088,787,306,SM,0.018437482
-3.8545841,6.120417,265,1415,57,1072,3733,116,SM,0.074451583
-6.3462507,5.8120837,259,1465,46,902,9648,185,SM,0.559986942
-3.6295841,8.2120837,269,1067,63,1277,2703,242,SM,0.015199596
-7.6795841,7.5537503,238,1721,65,972,5044,624,SM,0.024824109
-5.01674,6.56851,265,1097,56,1066,1056,143,SM,0.208984141
-4.9962507,9.745417,266,1207,82,1382,3267,341,SM,0.104549825
-4.1129174,8.4537503,272,1087,65,1246,1396,211,SM,0.026780556
-7.4462507,9.170417,257,1445,82,1348,955,414,SM,0.006230493
-6.15878,9.34609,264,1335,83,1351,1888,366,SM,0.008326815
-4.7545841,9.1037503,266,1112,74,1311,3268,352,SM,0.030683788
-5.0712507,5.8370837,267,1361,54,986,1974,67,SM,0.855717176
-6.15289,10.37137,268,1220,96,1619,2688,0,SM,0.045702624
-4.04195,5.3208,267,1790,94,1055,834,28,SM,0.010272641
-6.5795841,6.6870837,258,1344,54,981,1835,238,SM,0.095029579
-4.3379174,7.020417,271,1087,62,1071,5477,149,SM,0.046276326
-4.02253,5.44245,260,1726,76,1102,1746,121,SM,0.018238745
-7.6212507,8.945417,256,1435,79,1190,831,420,SM,0.010464011
-4.47279,9.16823,270,1110,74,1377,4618,293,SM,0.020231779
-2.6379174,8.220417,263,1131,63,1374,2035,300,SM,0.094194817
-4.5545841,6.0620837,267,1295,56,1039,393,109,SM,0.513009667
-6.3545841,5.995417,259,1449,46,888,5148,193,SM,0.199104604
-5.5795841,7.670417,270,1090,63,1103,1939,216,SM,0.085035405
-5.6212507,9.7537503,268,1248,87,1443,996,308,SM,0.012757506
-4.55792,5.75329,266,1416,61,1048,7846,111,SM,0.989473428
-5.8212507,7.1287503,266,1263,55,1041,1813,183,SM,0.158877716
-6.8462507,5.3370837,254,1635,49,877,2534,183,SM,0.073459341
-6.4795841,4.895417,258,1437,87,936,1109,37,SM,0.630967414
-4.06442,7.09825,264,1106,61,1099,1205,235,SM,0.035293828
