"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
121.1787488,13.395417,272,1980,45,894,6535,20,"LF",0.00052765909569193
121.5037488,14.245417,253,2839,51,964,4590,212,"LF",0.00303179230846827
124.6037487,8.5037503,268,1763,49,630,59,6,"LF",0.00367960352148289
123.8537488,8.170417,273,2946,40,469,2254,7,"LF",0.00243570801088203
120.6370821,15.9037503,273,1751,85,1079,1460,34,"LF",0.00430434166707573
121.0620821,14.595417,271,2271,89,1088,1964,46,"LF",0.00203388404589078
121.0454154,14.545417,272,2026,87,1084,1954,35,"LF",0.00186660774991375
121.0620821,17.5870836,218,3328,52,1163,430,851,"LF",0.200933720643256
121.1537488,14.745417,268,2649,81,1082,395,31,"LF",0.00249078558576472
120.2204154,14.8870836,271,3416,116,897,3751,69,"LF",0.00239884280831246
121.3704154,16.1037503,228,2426,46,1097,876,579,"LF",0.0760702124833962
121.0454154,14.3370836,271,1922,78,1020,679,30,"LF",0.00197832742254733
122.4537488,11.3370837,268,2740,43,707,3749,163,"LF",0.00186843363481383
124.2537487,8.3287503,260,2756,59,499,6467,62,"LF",0.00195029607387769
120.6537488,15.1870836,270,2479,97,986,1270,51,"LF",0.00336026675911345
120.8454154,14.3870836,272,1947,90,985,1972,15,"LF",0.00156869640402989
120.5954154,18.045417,263,2422,105,1258,1599,39,"LF",0.0101514505553498
121.0287488,14.420417,272,1924,83,1078,2068,30,"LF",0.0016808462837636
120.4287488,16.170417,269,1714,99,1091,4486,15,"LF",0.00296284731260201
119.9370821,15.9870836,269,3019,105,912,2795,94,"LF",0.00607403780430878
121.4391719,13.140536,270,2127,52,863,3329,10,"LF",0.000751436927748766
126.0620821,7.795417,263,2892,37,528,90,63,"LF",0.00706848024510242
124.2287488,8.1370837,251,2919,42,421,2630,386,"LF",0.0225065527396383
121.3954154,14.095417,260,2348,53,972,2684,297,"LF",0.00621946663271284
122.8204154,9.995417,272,2255,62,572,1368,9,"LF",0.00139161503546966
122.4787488,8.0620837,270,2732,52,367,1130,12,"LF",0.0017117298166404
122.7870821,9.4037503,272,2420,72,503,2525,155,"LF",0.0030292727180197
121.4787488,14.3870836,267,2657,51,1110,1632,38,"LF",0.00177868359551952
123.3620821,13.4537503,268,2517,45,1002,2673,8,"LF",0.000991259050869085
122.0870821,6.945417,268,1405,43,248,1545,29,"LF",0.0015354067113159
126.0870821,7.6620837,259,2784,42,468,748,76,"LF",0.00718824329306935
119.8787488,16.1620836,271,3114,109,913,907,15,"LF",0.00556849888386439
122.7120821,10.8370837,272,2098,50,730,6370,7,"LF",0.00056437960009079
122.9370821,10.645417,270,2419,51,690,3647,9,"LF",0.000939668165382765
125.4537487,7.0787503,258,2057,32,362,5163,280,"LF",0.0128866366502553
