"lng","lat","bioclim1","bioclim12","bioclim15","bioclim4","dist_to_water_m","elev_m","disease","theta"
-72.4008814,19.7101977,252,1844,33,1396,884,27,"LF",0.0238954042071748
-72.3995046,19.7050588,252,1844,33,1396,935,31,"LF",0.0234576365568867
-72.42448,19.6385267,234,1725,39,1187,1025,147,"LF",0.00599757153160692
-72.4343183,19.6134717,234,1725,39,1187,542,213,"LF",0.00679222856848211
-72.4165017,19.708415,252,1844,33,1396,2533,51,"LF",0.0104690474100123
-73.6545838,18.295417,256,1942,46,1155,398,29,"LF",0.0167702479135596
-72.2712505,18.5287503,256,1319,55,1180,5494,225,"LF",0.0120655861866694
-72.2712505,18.520417,256,1319,55,1180,6025,286,"LF",0.00891591412391122
-72.4091648,19.7029046,252,1844,33,1396,1699,46,"LF",0.0138765203970744
-72.427465,19.59926,234,1725,39,1187,193,226,"LF",0.00655781772723212
-72.0212505,19.6120836,254,1300,36,1359,552,39,"LF",0.030918817460585
-72.4236917,19.6403117,234,1725,39,1187,911,147,"LF",0.00636968910171967
-72.4227104,19.645769,234,1725,39,1187,742,114,"LF",0.00683852782846964
-72.1379171,18.5370836,260,995,59,1181,857,111,"LF",0.0332018027914608
-72.1962505,19.6287503,250,1677,27,1375,1529,54,"LF",0.0422836782017363
-72.4064367,19.5807917,215,1717,41,1210,940,503,"LF",0.00399687389152458
-72.2462505,19.5287503,237,1626,38,1245,1197,504,"LF",0.0120404426097869
-72.8295838,19.6787503,237,1411,46,1031,4420,478,"LF",0.000988041841065194
-72.4194733,19.6693467,242,1810,33,1293,1152,87,"LF",0.00871627920393263
-72.4117267,19.6986117,252,1844,33,1396,1558,54,"LF",0.0155846350210716
-72.4112583,19.69466,252,1844,33,1396,1243,54,"LF",0.0202933286644456
-72.427743,19.7023338,242,1810,33,1293,2980,168,"LF",0.00369040881593809
-72.4238233,19.6380383,234,1725,39,1187,939,147,"LF",0.00627576953074077
-72.4059433,19.5809317,215,1717,41,1210,978,503,"LF",0.00391634246983621
-72.39683,19.7062983,252,1844,33,1396,672,31,"LF",0.0255391340055049
-72.3626362,19.696597,252,1844,33,1396,3072,52,"LF",0.010024058409912
-72.2962505,18.5370836,256,1319,55,1180,6665,183,"LF",0.0124986272518965
-72.359575,19.7028867,252,1844,33,1396,3259,86,"LF",0.00978196217071535
-72.2295838,19.7370836,253,1593,33,1438,1860,122,"LF",0.026692338507509
-72.4252933,19.637445,234,1725,39,1187,1000,219,"LF",0.0060737432324558
-72.5129171,19.2620836,251,962,70,1072,2954,68,"LF",0.0193781276212509
-72.421605,19.639255,234,1725,39,1187,793,147,"LF",0.00674100498335613
-72.4879171,19.295417,241,1138,68,983,6548,196,"LF",0.0011946222007797
-72.4000017,19.7058969,252,1844,33,1396,973,33,"LF",0.0227128890048078
-72.3992483,19.7058283,252,1844,33,1396,913,31,"LF",0.0237061553980596
-72.3107638,18.5609441,256,1319,55,1180,4963,44,"LF",0.0097597908924246
-72.3674507,19.7049115,252,1844,33,1396,2426,53,"LF",0.011104863937559
-72.41997,19.67264,242,1810,33,1293,966,87,"LF",0.00964581876290739
-72.401795,19.579155,215,1717,41,1210,1425,503,"LF",0.00282341988072441
-72.4249517,19.6498983,234,1725,39,1187,1155,114,"LF",0.00555460049779274
-72.4261417,19.667875,242,1810,33,1293,1795,141,"LF",0.0053634290861682
-72.1962505,19.7620836,244,1731,32,1387,1841,7,"LF",0.00834476684784042
-72.4095406,19.7091899,252,1844,33,1396,1798,51,"LF",0.0131601009511434
-72.419955,19.67279,242,1810,33,1293,957,87,"LF",0.00969084066736971
-72.363665,19.7013133,252,1844,33,1396,2851,86,"LF",0.0104234093663907
-72.4053957,19.7038945,252,1844,33,1396,1375,33,"LF",0.017728491330091
-72.414165,19.5830967,215,1717,41,1210,233,350,"LF",0.00415483330805492
-72.4256217,19.668285,242,1810,33,1293,1724,141,"LF",0.00555947210443205
-72.0212505,18.445417,210,1578,55,1211,4736,1193,"LF",0.00179472771121959
-72.4120017,19.6875917,252,1844,33,1396,677,51,"LF",0.0272010254146566
-72.3712505,18.520417,258,1387,52,1185,3400,123,"LF",0.00546641443208294
-72.6962505,19.8787503,236,1642,33,1195,984,508,"LF",0.00730326749164777
-72.41508,19.582365,215,1717,41,1210,330,350,"LF",0.00419455878576509
-72.4236117,19.646955,234,1725,39,1187,874,114,"LF",0.00647775413062015
-72.421785,19.6392283,234,1725,39,1187,809,147,"LF",0.00669734516003054
-72.3295838,18.520417,256,1319,55,1180,3611,264,"LF",0.0104080530941589
-72.6879171,19.0870836,262,754,75,1095,2256,73,"LF",0.00399276735442382
-73.1295838,19.870417,253,1023,34,1245,285,79,"LF",0.0146403413355414
-72.4249217,19.6498683,234,1725,39,1187,1150,114,"LF",0.00557231488360965
-74.0712505,18.3287503,228,2125,52,1247,256,447,"LF",0.00320707620440148
-72.4004667,19.7069483,252,1844,33,1396,952,33,"LF",0.0229369148430038
-72.4055567,19.708195,252,1844,33,1396,1405,33,"LF",0.0172694497346729
-72.4712505,19.595417,234,1725,39,1187,465,374,"LF",0.00986673235633318
-72.4129171,18.5370836,258,1387,52,1185,766,65,"LF",0.0298735724465598
-73.8712505,18.4620836,228,2057,51,1306,8309,429,"LF",0.000674103085644501
-71.7795838,19.6120836,262,1020,37,1399,5003,19,"LF",0.00540355240856336
-72.3879171,18.520417,258,1387,52,1185,1947,138,"LF",0.013907617071178
-72.40528,19.7102417,252,1844,33,1396,1343,27,"LF",0.018365447770231
-72.3879171,18.420417,216,1763,55,1188,588,549,"LF",0.00319948640655935
-72.4061533,19.7080733,252,1844,33,1396,1469,33,"LF",0.0163207441428803
-72.4115383,19.6977117,252,1844,33,1396,1474,54,"LF",0.0167114458166764
-72.3780626,19.7054302,252,1844,33,1396,1314,38,"LF",0.0195419558373596
-72.4089917,19.58304,215,1717,41,1210,587,350,"LF",0.00439077721335838
-72.405675,19.7086033,252,1844,33,1396,1408,27,"LF",0.0173586194947405
-72.4245467,19.6365367,234,1725,39,1187,875,147,"LF",0.00649045848527754
-72.4241067,19.6384217,234,1725,39,1187,991,147,"LF",0.00610563383326571
