lng,lat,bioclim1,bioclim12,bioclim15,bioclim4,dist_to_water_m,elev_m,disease,theta
34.9704158,-15.6795829,219,982,102,2316,6473,766,SM,0.081648469
34.7204158,-16.1712496,259,780,98,2922,500,111,SM,0.026694682
33.6370824,-13.7379162,198,876,115,2284,1542,1262,SM,0.005652943
35.5620824,-15.5879162,222,1472,87,2432,3238,671,SM,0.028686171
35.1787491,-14.9795829,238,967,108,2448,3540,522,SM,0.015145506
34.90267,-15.37866,240,954,103,2547,829,477,SM,0.017149128
33.3787491,-14.1629162,203,944,110,2466,2763,1243,SM,0.00391071
33.3704158,-12.9962496,210,832,120,2332,3456,1030,SM,0.130014349
33.7620824,-14.1879162,195,903,110,2596,6270,1169,SM,0.049894382
35.5037491,-15.1629162,225,1183,102,2291,2060,672,SM,0.109356072
33.5370824,-10.9712496,203,811,111,2461,2278,1284,SM,0.001815405
33.7037491,-14.0129162,202,880,112,2540,1956,1102,SM,0.124565636
35.4204158,-15.2962496,225,1221,100,2382,2447,727,SM,0.285724438
35.6787491,-15.7212496,222,1630,83,2329,1020,708,SM,0.011958832
35.0704158,-15.1629162,235,981,107,2494,835,516,SM,0.038891311
33.7870824,-11.6545829,176,979,104,2171,4242,1678,SM,0.032804753
34.4454158,-15.8379162,245,889,98,2641,822,469,SM,0.033007624
33.9954158,-12.3045829,227,1419,98,2070,478,513,SM,0.159631132
33.5370824,-11.6545829,201,873,111,2213,2769,1344,SM,0.000321575
33.7370824,-13.5379162,198,859,120,2248,2420,1224,SM,0.037488977
33.0704158,-13.8879162,215,976,112,2428,397,1096,SM,0.064480748
33.6454158,-14.3129162,199,930,109,2573,3409,1167,SM,0.023112124
33.8787491,-13.4129162,192,906,119,2210,5070,1341,SM,0.059787562
33.9454158,-13.6295829,191,892,119,2268,5014,1273,SM,0.147306647
35.1787491,-15.7045829,209,1232,96,2287,4601,1140,SM,0.012469985
33.6037491,-13.8212496,200,873,116,2336,1422,1175,SM,0.048525951
35.1620824,-15.7629162,203,1209,96,2221,481,954,SM,0.042081956
34.9787491,-15.8379162,214,1061,97,2403,166,913,SM,0.050774689
34.4120824,-15.8212496,240,949,97,2505,3746,568,SM,0.040966217
34.9787491,-15.7629162,216,1020,100,2363,5495,996,SM,0.082816427
35.0787491,-15.8379162,199,1186,95,2194,2442,1119,SM,0.031968213
33.5204158,-9.7712496,216,1444,86,1833,6854,1211,SM,0.004515097
33.9954158,-14.0712496,194,879,113,2543,828,1175,SM,0.072212254
33.3954158,-12.1962496,200,918,113,2330,2739,1257,SM,0.002914738
